"Indicador ID","Indicador Nombr","Período","Ministerio ID","Ministerio Nombr","Línea ID","Línea Título","Valor","Unidad","Meta","Fuente","Responsable","No Responsable En","Observaciones","Estado","Publicado","Creado En","Actualizado En","Mes"
"D)DIEL_7094","D) Difundir el Índice de Paridad Política, las recomendaciones para su implementación y el asesoramiento para su desarrollo en otras jurisdicciones como iniciativa para el impulso de la autonomía de las mujeres en la toma de decisiones.","2024","JUS","Justicia","CST_492439325","Compromiso sin 24","24","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"D)DIEL_7094","D) Difundir el Índice de Paridad Política, las recomendaciones para su implementación y el asesoramiento para su desarrollo en otras jurisdicciones como iniciativa para el impulso de la autonomía de las mujeres en la toma de decisiones.","2024","JUS","Justicia","CST_492439325","Compromiso sin 1","1","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","septiembre"
"F)COCO_120","F) Continuar con el asesoramiento brindado por la Secretaria de Trabajo y Empleo a personas en situación de violencia por razones de género en el ámbito laboral, a través de las herramientas desplegadas por la Dirección General Relaciones del Trabajo en el marco del Convenio 190 de la Organización Internacional del Trabajo (OIT).","2024","JUS","Justicia","CST_298574626","Compromiso sin 1","1","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"JEDEGA_8847","Jefatura de Gabinete","2024","JDG","Jefatura de Gabinete","CST_935388914","Compromiso sin 4557","4557","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"CADETR_2660","Cantidad de trabajadores que completaron la capacitación","2024","JDG","Jefatura de Gabinete","CST_2033776360","Compromiso sin 2440","2440","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"CADECA_3855","Cantidad de capacitaciones brindadas (si sirve se puede dividir en modalidad online y presencial)","2024","JDG","Jefatura de Gabinete","CST_687170820","Compromiso sin 22","22","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","febrero"
"CADECA_3855","Cantidad de capacitaciones brindadas (si sirve se puede dividir en modalidad online y presencial)","2024","JDG","Jefatura de Gabinete","CST_687170820","Compromiso sin 2","2","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","octubre"
"ARINDE_8597","Articular instancias de capacitación y formación en la implementación de Programa Mujeres Líderes en GCBA.","2024","JDG","Jefatura de Gabinete","CST_1413063729","Compromiso sin 70","70","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"CADETR_8193","Cantidad de trabajadores que completaron la capacitación","2024","JDG","Jefatura de Gabinete","CST_2033776360","Compromiso sin 18","18","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"CADECA_979","Cantidad de capacitaciones brindadas","2024","JDG","Jefatura de Gabinete","CST_167179642","Compromiso sin 7","7","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"GALAES_3621","Garantizar la especializaciòn en perspectiva de genero en el marco del programa "Especializaciones"","2024","JDG","Jefatura de Gabinete","CST_1467980241","Compromiso sin 1","1","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"CADEPE_8523","Cantidad de personas inscriptas en especializacion/es de perspectiva de género","2024","JDG","Jefatura de Gabinete","CST_521709727","Compromiso sin 926","926","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"COGALA_7959","Continuar garantizando la asignación de becas paritarias para las formaciones","2024","JDG","Jefatura de Gabinete","CST_1498602923","Compromiso sin 59","59","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","septiembre"
"CADEMU_1684","Cantidad de mujeres con becas que finalizaron las formaciones","2024","JDG","Jefatura de Gabinete","CST_478466230","Compromiso sin 27","27","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"AJ(YES_8873","Ajuste (ya está publicado) de manual de diseño de espacios públicos con perspectiva de género","2024","JDG","Jefatura de Gabinete","CST_1109471923","Compromiso sin 4","4","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","abril"
"PRDEES_1427","Promoción de espacios de fútbol mixto.","2024","JDG","Jefatura de Gabinete","CST_1583208735","Compromiso sin 1","1","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"NÚDEMA_7632","Número de materiales promocionales producidos","2024","JDG","Jefatura de Gabinete","CST_1216066110","Compromiso sin 4","4","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"CADENU_3134","Cantidad de nuevas personas inscriptas a futbol mixto","2024","JDG","Jefatura de Gabinete","CST_530932022","Compromiso sin 1803","1803","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"PODEPA_416","Porcentaje de participación de mujeres en las actividades de fútbol mixto:","2024","JDG","Jefatura de Gabinete","CST_914622077","Compromiso sin 0","0","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"CADEAC_6591","Cantidad de actividades de relevamiento realizadas","2024","JDG","Jefatura de Gabinete","CST_292158308","Compromiso sin 1","1","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
"PODECL_4032","Porcentaje de clubes con comisiones de género establecidas:","2024","JDG","Jefatura de Gabinete","CST_1975227332","Compromiso sin 0","0","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","marzo"
"CODEUN_8859","Confección de un Informe de relevamiento sobre la existencia de Protocolos de actuación ante situaciones de violencia de género y protección a las infancias y adolescencias en las entidades deportivas.","2024","JDG","Jefatura de Gabinete","CST_559045824","Compromiso sin 624","624","","","Excel Original","Sistema Automá","sistema@pio.gob.ar","","validado","No","2025-09-11T18:25:39.018Z","2025-09-11T18:25:39.018Z","enero"
